Author;Publication count;PageRank;Authority score
Anirban Dasgupta 0001;1;0;0
Leonardo Tininini;2;0;0
Rebecca N. Wright;2;0;0
Andrei Voronkov;2;0;0
Sariel Har-Peled;2;0;0
Christos Faloutsos;4;0;0
Riccardo Torlone;1;0;0
Uri Zarfaty;1;0;0
Krzysztof R. Apt;1;0;0
Kenneth Salem;1;0;0
David P. Woodruff;10;0;0
Milena Mihail;1;0;0
Dan E. Willard;1;0;0
Véronique Royer;1;0;0
Christof Hasse;1;0;0
Cheng Sheng 0001;4;0;0
Albert Atserias;1;0;0
Ankur Gupta;1;0;0
Linfeng Zhang;1;0;0
Yuri Breitbart;3;0;0
Alberto Marchetti-Spaccamela;2;0;0
Philippa Gardner;1;0;0
Maurizio Lenzerini;9;0;0
Marc Niézette;1;0;0
Henry Tirri;1;0;0
Arturs Backurs;1;0;0
Georg Gottlob;28;0;0
Yuliang Li;1;0;0
Georg Lausen;4;0;0
Andrea Pietracaprina;1;0;0
Andreas Behrend;1;0;0
Cyrus Shahabi;1;0;0
Angela Bonifati;1;0;0
John Turek;1;0;0
Danny Dolev;1;0;0
Dale Skeen;4;0;0
Prasenjit Mitra;1;0;0
Joseph M. Hellerstein;3;0;0
Hans-Peter Kriegel;1;0;0
Zhen Liu;1;0;0
Alexandru Berlea;1;0;0
Uri Stemmer;1;0;0
Jens Lechtenbörger;3;0;0
Nicolas Spyratos;5;0;0
Tim Sheard;1;0;0
Avi Silberschatz;1;0;0
Zengfeng Huang;2;0;0
Martin Farach-Colton;2;0;0
Hisao Tamaki;1;0;0
Jun (Jim) Xu;1;0;0
Ling Tony Chen;1;0;0
Patrick C. Fischer;2;0;0
Emmanuel Waller;4;0;0
Chao Li;1;0;0
Moshe Y. Vardi;29;0;0
Shinichi Morishita;4;0;0
Michael Mitzenmacher;2;0;0
Jonathan W. Berry;1;0;0
Donghui Zhang;2;0;0
Michael Schmidt 0002;1;0;0
Sridhar Rajagopalan;1;0;0
Reut Levi;2;0;0
Sam Toueg;1;0;0
Boris Aronov;1;0;0
Limsoon Wong;6;0;0
Jon McAlister;1;0;0
Max J. Egenhofer;1;0;0
Elias Koutsoupias;2;0;0
Harry R. Lewis;1;0;0
Rahul Shah;2;0;0
Mihalis Yannakakis;10;0;0
Emanuel Sallinger;2;0;0
Sambuddha Roy;1;0;0
Marco A. Casanova;5;0;0
Efthymia Tsamoura;1;0;0
Kostas Tsichlas;1;0;0
Michael J. Carey;3;0;0
Palash Dey;1;0;0
Vijayshankar Raman;1;0;0
Allan Borodin;1;0;0
Shigeki Shibayama;1;0;0
Ashish Gupta 0001;3;0;0
Nirman Kumar;1;0;0
Qin Zhang;5;0;0
Ying Xu 0002;1;0;0
Rachel Ben-Eliyahu-Zohary;1;0;0
Haim Kaplan;3;0;0
Mario Szegedy;1;0;0
François Bancilhon;6;0;0
David Gross;1;0;0
M. Spyratos;1;0;0
Arnaud Durand 0001;1;0;0
Hans Hermann Brüggemann;1;0;0
Helmut Seidl;2;0;0
Adrian Segall;1;0;0
Dennis E. Shasha;6;0;0
Radu Berinde;1;0;0
David Cheng;1;0;0
Chung-Sheng Li;1;0;0
Kian-Lee Tan;1;0;0
T. S. Jayram;3;0;0
Arun N. Swami;2;0;0
Prasan Roy;1;0;0
Alon Efrat;1;0;0
Alexandros Biliris;1;0;0
Wolfgang Lehner;1;0;0
Colin Bell;1;0;0
Tal Malkin;1;0;0
David Harel;3;0;0
Ouri Wolfson;4;0;0
Yousef J. Al-Houmaily;1;0;0
Yeye He;1;0;0
Sushant Patnaik;2;0;0
Wei-hsing Wang;1;0;0
Daniel Lupei;1;0;0
Bogdan Warinschi;1;0;0
Jun Sese;1;0;0
Cristina Sirangelo;3;0;0
Gjergji Kasneci;1;0;0
Sabrina De Capitani di Vimercati;1;0;0
Grant Wang;1;0;0
Srikanta Tirthapura;4;0;0
Raymond T. Ng;2;0;0
William Maniatty;1;0;0
Masatoshi Yoshikawa;2;0;0
Alessandro D'Atri;3;0;0
Gábor Tardos;1;0;0
Alan Fekete;3;0;0
Timos Antonopoulos;1;0;0
Arthur J. Bernstein;1;0;0
Marcelo Arenas;13;0;0
Ali Saman Tosun;1;0;0
Adam Kirsch;1;0;0
Hubie Chen;2;0;0
Yuri Matiyasevich;1;0;0
A. Pavan;1;0;0
Pierre Bourhis;2;0;0
Dana Angluin;1;0;0
Sairam Subramanian;1;0;0
Anand Rajaraman;4;0;0
Panayiotis Tsaparas;1;0;0
Edith Cohen;5;0;0
R. J. Peterson;1;0;0
Michael Carbin;1;0;0
Panos K. Chrysanthis;1;0;0
Ilias Diakonikolas;1;0;0
Ada Wai-Chee Fu;1;0;0
Guillaume Bagan;1;0;0
Guizhen Yang;2;0;0
Jack Kent;1;0;0
Balder ten Cate;6;0;0
Bernd-Uwe Pagel;3;0;0
Sergio Greco;2;0;0
Enrico Franconi;1;0;0
George Kollios;1;0;0
Seppo Sippu;2;0;0
Toon Calders;2;0;0
James Bailey;1;0;0
Emmanuel Filiot;1;0;0
Stavros Sintos;1;0;0
Tirza Hirst;1;0;0
Wim Martens;8;0;0
Leopoldo E. Bertossi;1;0;0
Paul G. Spirakis;1;0;0
M. S. Krishnamoorthy;1;0;0
Luigi Palopoli;1;0;0
Alexander Tuzhilin;2;0;0
Dietmar Seipel;1;0;0
Arvind Arasu;2;0;0
Darakhshan J. Mir;1;0;0
Vladimir Braverman;2;0;0
Yasushi Sakurai;1;0;0
Roberto Grossi;2;0;0
Jie-Bing Yu;1;0;0
Marco Schaerf;2;0;0
Nabil H. Mustafa;1;0;0
Hannu Toivonen;1;0;0
Jan Hidders;1;0;0
Floris Geerts;11;0;0
Marco Montali;3;0;0
Michael W. Mahoney;1;0;0
Jeff Erickson;2;0;0
Colin Hirsch;1;0;0
Xiaoyang Sean Wang;2;0;0
Kari-Jouko Räihä;5;0;0
Sharon C. Salveter;1;0;0
Kowtha Murthy;1;0;0
Takeo Kakuta;1;0;0
Sofya Vorotnikova;1;0;0
Jeffrey A. Vaughan;1;0;0
Thanasis Hadzilacos;4;0;0
Praveen Seshadri;1;0;0
Stefano Leonardi;1;0;0
Michael Hay;2;0;0
Michal Pilipczuk;1;0;0
Domenico Lembo;2;0;0
Nilesh N. Dalvi;5;0;0
Ke Wang;2;0;0
Atsushi Ohori;1;0;0
Luc Segoufin;13;0;0
Oege de Moor;1;0;0
Hendrik Jan Hoogeboom;1;0;0
Gael N. Buckley;1;0;0
Yinian Qi;1;0;0
Sundeep Prakash;1;0;0
Laurent Herr;1;0;0
Tomasz Idziaszek;1;0;0
