Author;Publication count;PageRank;Authority score
M. Praveen;1;0.000931099;5.45E-235
Rohan Puttagunta;1;0.00043566;8.94E-05
Sharon C. Salveter;1;0;0
Stefano Leonardi;1;0.000897263;1.02E-07
Gaston H. Gonnet;3;0.000931099;5.45E-235
Raymond Reiter;1;0;0
Haruo Yokota;1;0.000931099;2.84E-111
Antoine Amarilli;1;0.000428237;0.000141161
Jun (Jim) Xu;1;0.000931099;1.54E-150
Seth Gilbert;1;0.00065767;3.49E-72
Xiaoyang Sean Wang;2;0.000933313;9.74E-06
Gael N. Buckley;1;0.000253969;8.41E-05
Marc Niézette;1;0.000792251;9.50E-163
Wei-hsing Wang;1;0.000907094;1.53E-169
Assaf Schuster;1;0.000931099;1.04E-181
Martha Escobar-Molano;1;0.000512724;0.000199521
Yannis Kotidis;1;0.000560478;6.79E-05
Haiquan Li;1;0.000731891;0.000140889
Mike Paterson;1;0.000618774;8.72E-114
Miguel Romero 0001;3;0.000756981;0.005047917
Cheng Sheng 0001;4;0.000624623;5.85E-06
Philip Bohannon;1;0.000860959;0.001336124
Jan Van den Bussche;17;0.004088696;0.007368372
Michael Mitzenmacher;2;0.00135272;7.81E-05
Michael J. Maher;2;0.000745514;0.000286664
Vladimir Braverman;2;0.001011261;0.000151921
Andrés Letelier;1;0.0004623;0.000340078
Helmut Seidl;2;0.000940766;0.000280256
Iyer N. Subramanian;1;0.000443849;0.000153051
Latanya Sweeney;1;0.000420678;8.36E-149
Tore Dalenius;1;0.000931099;1.04E-181
Gösta Grahne;7;0.002229169;0.000253144
Peter T. Wood;2;0.000471088;0.001143057
Inderpal Singh Mumick;7;0.001680811;0.0030365
Richard Jeffers;1;0.000478301;1.94E-07
Peter Buneman;7;0.001647524;0.00415689
Jayant R. Haritsa;1;0.000653403;7.39E-145
Tim Connors;1;0;0
Sergio Greco;2;0.00072484;5.05E-05
Danny Dolev;1;0.000931099;5.45E-235
Yuri Matiyasevich;1;0.000931099;1.54E-150
David Tench;1;0.000386627;5.44E-05
Kari-Jouko Räihä;5;0.001080347;5.57E-05
Raymond T. Ng;2;0.000985297;0.000243681
Anirban Dasgupta 0001;1;0.000414522;0.000364792
Ada Wai-Chee Fu;1;0.000707444;1.69E-208
Pierre Senellart;4;0.000926669;0.001871023
Bradley S. Fordham;1;0.000507111;0.001834476
David Gross-Amblard;1;0;0
Marianne Baudinet;1;0.000792251;9.50E-163
Joseph Y. Halpern;3;0.000918345;3.08E-05
J. Nathan Foster;1;0.000428436;7.46E-05
Kirack Sohn;2;0.000437944;2.72E-06
Paolo Atzeni;6;0.002041772;2.01E-05
Bing-Rong Lin;1;0.000338668;1.64E-06
Alon Y. Levy;9;0.002173977;0.007733318
Daniel R. Ries;1;0.000865795;5.58E-05
Vittorio Castelli;1;0.000931099;1.54E-150
Mukesh K. Mohania;1;0.00078391;3.17E-05
Zhiqiang Yang;1;0.000562746;3.40E-06
Alexander Serebrenik;1;0.000355363;0.000536543
Praveen Seshadri;1;0.000530095;3.00E-06
Michael Kapralov;1;0;0
Sebastian Skritek;3;0.000790535;0.001092841
David Scot Taylor;2;0.000770378;4.02E-05
Christof Hasse;1;0.000708323;7.42E-07
Prasenjit Mitra;1;0.000447683;0.000338876
Avi Silberschatz;1;0.000655594;0.000898297
Bernhard Seeger;2;0.001209182;3.50E-06
Sriram Raghavan;2;0.00087344;0.006874748
Scott Weinstein;2;0.000536029;0.001172671
Daniel M. Kane;1;0.000461174;0.000132605
Paul Beame;3;0.000970098;0.001547722
Yoo Ah Kim;1;0.000506117;2.21E-07
Michael T. Goodrich;1;0.00047874;2.06E-05
Daniel Lupei;1;0.000383001;0.000163756
Jorma Rissanen;1;0;0
Philip A. Bernstein;1;0.000472194;0.000252092
Ilias Diakonikolas;1;0.000931099;2.00E-128
Laks V. S. Lakshmanan;2;0.000659214;0.000154325
Philippa Gardner;1;0.000931099;1.54E-150
Anand Srinivasan;1;0.000685808;3.25E-05
Neoklis Polyzotis;1;0.000316208;2.75E-05
Antonella Poggi;2;0.000832929;0.002359742
Russell Greiner;1;0;0
Ke Yi;10;0.003004107;0.000355443
Katja Losemann;1;0.000244394;0.000117096
Anne Condon;1;0.000970798;2.38E-148
Nabil H. Mustafa;1;0.000255394;8.18E-06
Supratim Deb;1;0.000685808;3.25E-05
Eugene Pinsky;1;0.000907094;1.53E-169
Jan Paredaens;9;0.002291446;0.003600751
Frank McSherry;2;0.001413127;1.31E-08
Subhash Suri;3;0.001317986;9.21E-06
Pierangela Samarati;2;0.001322423;2.58E-148
Lin Yu;2;0.000931099;1.04E-181
Simona Rabinovici-Cohen;1;0.000398414;8.38E-06
Arthur M. Keller;1;0;0
Frank M. Pittelli;1;0.00053722;5.04E-05
Sreenivas Gollapudi;3;0.000781332;0.000655963
Floris Geerts;11;0.002549326;0.006418009
Mert Saglam;1;0.000931099;1.04E-181
Srinivas R. Kashyap;1;0.000685808;3.25E-05
Jeff M. Phillips;2;0.001266585;0.00010018
Bruno Marnette;1;0;0
Krzysztof R. Apt;1;0.000931099;5.45E-235
Fenia Zioga;1;0.000931099;5.45E-235
Vassos Hadzilacos;5;0.000481548;4.66E-05
Rona Machlin;1;0;0
Angela Bonifati;1;0.000585048;2.86E-05
Krishnaram Kenthapadi;2;0.001402998;4.32E-06
Froduald Kabanza;1;0.000792251;9.50E-163
Nick Koudas;4;0.001333217;0.000739046
Stijn Vansummeren;6;0.001463602;0.008133718
Lin F. Yang;1;0.00063648;0.000134497
Milan Vojnovic;1;0.000931099;1.04E-181
Paraschos Koutris;5;0.001319459;0.002008737
Dan Suciu;25;0.00549971;0.008902939
Alexander Brodsky;3;0.000845337;0.002189385
Dimitrios Gunopulos;4;0.001829588;1.69E-05
Vladimir Lanin;1;0.000375527;2.03E-06
D. Sivakumar;4;0.001797533;0.006177649
Francesco M. Malvestuto;2;0.000514779;5.18E-06
Clément L. Canonne;1;0;0
Yaron Kanza;3;0.000549181;0.00344755
John R. Smith;1;0.000931099;1.54E-150
Maurizio Rafanelli;2;0.000855721;0.000101039
Francesco Scarcello;6;0.001305144;0.001046834
Bogdan Alexe;1;0.000335702;0.002551178
Mantas Simkus;1;0.000463581;0.000260969
Alin Dobra;1;0;0
Gerhard Jaeschke;1;0.000303033;3.59E-08
Wang Chiew Tan;9;0.002535032;0.019349273
Liying Sui;2;0.000724717;0.002434342
Antonio Badia;1;0.000243308;0.000395925
Alon Y. Halevy;2;0.000722608;0.00077111
Solmaz Kolahi;1;0.000243247;0.000648715
Neil Immerman;2;0.001064242;2.04E-155
Matthias Niewerth;3;0.000988702;0.001226469
Edward D. Lazowska;1;0.000931099;5.45E-235
Bennet Vance;1;0.000267673;0.000298464
Donald S. Fussell;1;0.000441655;8.85E-05
Ariel Fuxman;1;0.000468378;0.002681715
Shalom Tsur;3;0.000832515;0.001385014
Limsoon Wong;6;0.001329838;0.002471697
Fang Wei 0001;3;0.001100377;0.000874027
Anthony C. Klug;1;0.000931099;5.45E-235
Stefan Berchtold;1;0.000931099;1.54E-150
Mario Winter;1;0.000474232;3.60E-08
Divyakant Agrawal;7;0.00237613;8.29E-07
Akshay Goel;1;0.000396775;9.23E-05
Boris Aronov;1;0.000705293;3.50E-05
Kumar V. Vadaparty;2;0.000312351;9.56E-06
Todd D. Millstein;1;0.000431886;0.000395696
Richard J. Lipton;1;0.000298432;5.82E-05
Bertram Ludäscher;2;0.000656483;0.000243515
Alexandre V. Evfimievski;2;0.000733022;0.001874104
K. V. M. Naidu;1;0.000685808;3.25E-05
Oege de Moor;1;0.000931099;1.54E-150
Michael A. Bender;5;0.002188293;1.64E-71
Gianluigi Greco;4;0.000860695;0.000549618
Frank Neven;17;0.004009425;0.007974911
Yael Amsterdamer;2;0.00073417;0.000880257
Flavio Chierichetti;2;0.00099298;0.000596724
Wenfei Fan;16;0.003301057;0.007888547
Rina Dechter;1;0;0
Héctor J. Hernández;3;0.000765771;2.75E-05
Jennifer Widom;6;0.002090338;0.002416026
Arun N. Swami;2;0.000970291;0.00013595
Gabriel M. Kuper;8;0.001431623;0.008328105
Hoda Mokhtar;1;0.000442107;0.00016201
M. Muralikrishna;1;0.000931099;5.45E-235
Dimitris Papadias;1;0.000915916;1.99E-175
Radu Berinde;1;0.000515509;4.10E-05
Jack Minker;1;0;0
Adrian Onet;1;0.000572713;1.30E-05
Sophie Tison;1;0.000812619;1.23E-07
Banu Özden;2;0.000728824;0.000231387
Dale Skeen;4;0.001476882;5.63E-05
Fabrizio Angiulli;1;0.000931099;1.54E-150
P. Mukhopadhyay;1;0.000931099;5.45E-235
Sunil Prabhakar;1;0.000707444;1.69E-208
Dilys Thomas;1;0.001003289;4.30E-06
Elarbi Choukhmane;1;0.000453289;1.97E-140
Alessio Orlandi;1;0.000931099;5.45E-235
Rolfe R. Schmidt;1;0.000931099;5.45E-235
John T. Robinson;2;0.000513086;9.18E-05
Richard Helm;1;0.000931099;1.04E-181
Wang-Chiew Tan;1;0.000661082;5.28E-05
Ely Porat;1;0.000458385;0.000154179
Yossi Matias;1;0.000600087;0.000123186
Dung T. Nguyen;1;0.000458385;0.000154179
Joachim Biskup;1;0.000931099;1.54E-150
Damian Niwinski;1;0.000287393;6.00E-05
Nandit Soparkar;1;0.000253969;8.41E-05
Marina Moscarini;4;0.001590732;5.32E-06
Diego Calvanese;9;0.002128877;0.029831088
Carlo Zaniolo;8;0.002290274;0.000350845
Alexander Tuzhilin;2;0.001378408;3.37E-208
Oscar H. Ibarra;2;0.000595183;0.000302461
Daniel Kifer;3;0.001170267;3.38E-05
Sridhar Rajagopalan;1;0.000647152;0.001074119
Vahab S. Mirrokni;1;0.000501768;0.000143712
M. Kramer;1;0.000931099;1.54E-150
Esko Ukkonen;1;0.000572713;1.30E-05
Tatuo Nakanishi;1;0.000931099;5.45E-235
Waqar Hasan;1;0.000479128;2.91E-05
Jeffrey B. Remmel;1;0.000384436;0.000565517
